id,season_num,ep_num,ep_name
1,1,1,The Heirs of the Dragon
2,1,2,The Rogue Prince
3,1,3,Second of His Name
4,1,4,King of the Narrow Sea
5,1,5,We Light the Way
6,1,6,The Princess and the Queen
7,1,7,Driftmark
8,1,8,The Lord of the Tides
9,1,9,The Green Council
10,1,10,The Black Queen
11,2,1,A Son for a Son
12,2,2,Rhaenyra the Cruel
13,2,3,The Burning Mill
14,2,4,The Red Dragon and the Gold
15,2,5,Regent
16,2,6,Smallfolk
17,2,7,The Red Sowing
18,2,8,The Queen Who Ever Was
