id,ep_id,char_name,line_count
217,15,Walter White,73
218,15,Jesse Pinkman,57
219,15,Saul Goodman,50
220,15,"Brandon ""Badger"" Mayhew",32
221,15,Hank Schrader,30
222,15,Getz,30
223,15,Jane Margolis,14
224,15,Skyler White,6
225,15,Steve Gomez,6
226,15,Marie Schrader,4
227,15,Francesca Liddy,2
228,15,Guy #2,2
229,15,Guy #1,1
230,15,Hot Girl Cop,1
231,16,Walter White,117
232,16,Jesse Pinkman,105
233,16,Skyler White,16
234,16,Dr. Delcavoli,11
235,16,Marie Schrader,9
236,16,Jane Margolis,8
237,16,Saul Goodman,6
238,16,Hank Schrader,3
239,16,Technician,3
240,16,"Walter ""Flynn"" White Jr.",2
241,16,Urinal Guy,2
242,17,Jesse Pinkman,55
243,17,Walter White,52
244,17,Jane Margolis,48
245,17,Skyler White,31
246,17,"Walter ""Flynn"" White Jr.",24
247,17,Ted Beneke,19
248,17,Hank Schrader,14
249,17,Donald Margolis,7
250,17,Bob,4
251,17,Tweaky Dude,3
252,17,Thug Buddy,2
253,17,Marie Schrader,1
254,17,Carmen Molina,1
255,17,Steve Gomez,0
256,18,Walter White,75
257,18,Jesse Pinkman,34
258,18,Skyler White,28
259,18,Saul Goodman,17
260,18,Ted Beneke,17
261,18,Gustavo Fring,14
262,18,Skinny Pete,8
263,18,Jane Margolis,7
264,18,OB / GYN,7
265,18,Dr. Delcavoli,6
266,18,Victor Bravenec,5
267,18,Cynthia,5
268,18,"Christian ""Combo"" Ortega",4
269,18,Victor,3
270,18,Pollos Employee,2
271,18,Beneke Employee #1,2
272,18,Tomás Cantillo,1
273,18,Beneke Employee #2,1
274,19,Walter White,86
275,19,Jane Margolis,59
276,19,Jesse Pinkman,41
277,19,Donald Margolis,41
278,19,Skyler White,31
279,19,Marie Schrader,11
280,19,Hank Schrader,9
281,19,Saul Goodman,8
282,19,Ted Beneke,6
283,19,"Walter ""Flynn"" White Jr.",5
284,19,Tattooed Biker,2
285,19,Addict,1
286,19,NA Sponsor,1
287,19,Nurse (S2E12),1
288,19,Holly White,0
289,20,Walter White,54
290,20,Skyler White,42
291,20,"Walter ""Flynn"" White Jr.",22
292,20,Hank Schrader,19
293,20,Jesse Pinkman,15
294,20,Donald Margolis,14
295,20,Gustavo Fring,8
296,20,Local Correspondant,8
297,20,George Merkert,7
298,20,Mike Ehrmantraut,7
299,20,O.M.I. Assistant,7
300,20,Victor Bravenec,5
301,20,Stew,5
302,20,Steve Gomez,4
303,20,Dr. Delcavoli,4
304,20,Marie Schrader,3
305,20,Business Community Leader #2,3
306,20,Jane Margolis,1
307,20,O.M.I. Officer,1
308,20,Business Community Leader #1,1
309,20,Nurse (S2E13),1
310,20,Holly White,0
311,21,Walter White,37
312,21,Skyler White,28
313,21,Jesse Pinkman,13
314,21,Pamela Orbic,12
315,21,"Walter ""Flynn"" White Jr.",8
316,21,Carmen Molina,8
317,21,Marie Schrader,7
318,21,Gustavo Fring,7
319,21,Group Leader,7
320,21,Hank Schrader,5
321,21,Sad-Faced Girl,3
322,21,Barry,1
323,21,Wide-Eyed Boy,1
324,21,Friendly Guy,1
325,21,Driver,1
326,21,Leonel Salamanca,0
327,21,Marco Salamanca,0
328,21,Holly White,0
329,21,Donald Margolis,0
330,22,Walter White,47
331,22,Skyler White,24
332,22,Saul Goodman,21
333,22,Adam Pinkman,18
334,22,Hank Schrader,17
335,22,Officer Cavanaugh,17
336,22,Jesse Pinkman,15
337,22,Ted Beneke,12
338,22,"Walter ""Flynn"" White Jr.",9
339,22,Marie Schrader,7
340,22,Diane Pinkman,6
341,22,Mr. Gardiner,6
342,22,Mike Ehrmantraut,5
343,22,Steve Gomez,4
344,22,Kaylee Ehrmantraut,2
345,22,Victor,1
346,22,Gustavo Fring,0
347,22,Leonel Salamanca,0
348,22,Marco Salamanca,0
349,22,Hector Salamanca,0
350,22,Holly White,0
351,23,Skyler White,46
352,23,Walter White,30
353,23,Hank Schrader,18
354,23,Juan Bolsa,18
355,23,"Walter ""Flynn"" White Jr.",16
356,23,Steve Gomez,15
357,23,Tortuga,11
358,23,Officer Saxton,10
359,23,Gustavo Fring,7
360,23,Pamela Orbic,7
361,23,Jane Margolis,6
362,23,Saul Goodman,5
363,23,Jesse Pinkman,4
364,23,Ted Beneke,3
365,23,Louis Corbett,3
366,23,Rookie Officer,2
367,23,Mike Ehrmantraut,1
368,23,Beto,1
369,23,Bingo Lady,1
370,23,Dirtball,1
371,23,Leonel Salamanca,0
372,23,Marco Salamanca,0
373,23,Hector Salamanca,0
374,23,Holly White,0
375,24,Walter White,63
376,24,Hank Schrader,35
377,24,Jesse Pinkman,29
378,24,Skyler White,18
379,24,Cara,17
380,24,Saul Goodman,16
381,24,Mike Ehrmantraut,11
382,24,George Merkert,9
383,24,Ted Beneke,7
384,24,Carmen Molina,7
385,24,Gustavo Fring,6
386,24,Steve Gomez,6
387,24,Burnout,6
388,24,"Walter ""Flynn"" White Jr.",5
389,24,Margaret,5
390,24,Victor,2
391,24,Saul's Client,2
392,24,Marie Schrader,1
393,25,Jesse Pinkman,36
394,25,Hank Schrader,35
395,25,Walter White,33
396,25,Skyler White,26
397,25,Marie Schrader,22
398,25,Saul Goodman,17
399,25,Gustavo Fring,12
400,25,Steve Gomez,11
401,25,Pamela Orbic,9
402,25,Mrs. Ortega,9
403,25,"Christian ""Combo"" Ortega",8
404,25,Skinny Pete,6
405,25,Ted Beneke,5
406,25,"Walter ""Flynn"" White Jr.",4
407,25,Janice,4
408,25,Francesca Liddy,1
409,25,Waitress (S3E5),1
410,25,Holly White,0
411,26,Walter White,65
412,26,Hank Schrader,29
413,26,Jesse Pinkman,26
414,26,"Brandon ""Badger"" Mayhew",17
415,26,Gale Boetticher,16
416,26,Skinny Pete,12
417,26,Old Joe,10
418,26,Saul Goodman,9
419,26,Marie Schrader,8
420,26,Gustavo Fring,8
421,26,Skyler White,7
422,26,Clovis,7
423,26,Bobby Kee,6
424,26,Francesca Liddy,4
425,26,"Walter ""Flynn"" White Jr.",3
426,26,Marco Salamanca,3
427,26,Cynthia,3
428,26,Realtor (S3E6),2
429,26,Mother,1
430,26,Leonel Salamanca,0
431,27,Walter White,38
432,27,Hank Schrader,29
433,27,Jesse Pinkman,14
434,27,Marie Schrader,12
435,27,Skyler White,9
436,27,Gale Boetticher,9
437,27,Leonel Salamanca,9
438,27,Hector Salamanca,8
439,27,Saul Goodman,7
440,27,George Merkert,6
441,27,Marco Salamanca,6
442,27,ABQ Detective #1,5
443,27,Arms Dealer,4
444,27,ABQ Detective #2,3
445,27,Union Rep,3
446,27,OPR Official,2
447,28,Walter White,84
448,28,Jesse Pinkman,32
449,28,Marie Schrader,30
450,28,Gustavo Fring,29
451,28,Skyler White,20
452,28,Steve Gomez,19
453,28,"Walter ""Flynn"" White Jr.",14
454,28,Juan Bolsa,11
455,28,Gale Boetticher,9
456,28,George Merkert,9
457,28,Doctor (S3E8),6
458,28,ER Doctor,4
459,28,EMT,3
460,28,Victor,2
461,28,Orderly,2
462,28,Friendly Agent,2
463,28,Skinny Pete,1
464,28,APD Officer,1
465,28,ER Doctor #2,1
466,28,Hank Schrader,0
467,28,Mike Ehrmantraut,0
468,28,Leonel Salamanca,0
469,29,Skyler White,47
470,29,Marie Schrader,40
471,29,Jesse Pinkman,37
472,29,Walter White,27
473,29,Hank Schrader,19
474,29,Ted Beneke,16
475,29,Doctor (S3E9),16
476,29,Group Leader,13
477,29,Saul Goodman,10
478,29,Steve Gomez,10
479,29,"Brandon ""Badger"" Mayhew",10
480,29,Skinny Pete,9
481,29,Gustavo Fring,5
482,29,Hospital Administrator,4
483,29,"Walter ""Flynn"" White Jr.",1
484,29,Victor,0
485,30,Jesse Pinkman,109
486,30,Walter White,106
487,30,Skyler White,1
488,31,Jesse Pinkman,62
489,31,Walter White,35
490,31,Skyler White,33
491,31,Andrea Cantillo,32
492,31,Saul Goodman,18
493,31,Hank Schrader,16
494,31,Marie Schrader,15
495,31,"Brandon ""Badger"" Mayhew",11
496,31,Jane Margolis,11
497,31,"Walter ""Flynn"" White Jr.",9
498,31,Skinny Pete,9
499,31,Gustavo Fring,8
500,31,Brock Cantillo,7
501,31,Tomás Cantillo,5
502,31,Group Leader,3
503,31,Physical Therapist,3
504,31,Grandma,2
505,31,Holly White,0
506,31,Bogdan Wolynetz,0
507,32,Walter White,73
508,32,Jesse Pinkman,38
509,32,"Walter ""Flynn"" White Jr.",28
510,32,Skyler White,23
511,32,Hank Schrader,23
512,32,Marie Schrader,19
513,32,Mike Ehrmantraut,11
514,32,Saul Goodman,9
515,32,Wendy Surckle,8
516,32,Gustavo Fring,6
517,32,Andrea Cantillo,3
518,32,Victor,1
519,32,Brock Cantillo,0
520,32,Tomás Cantillo,0
521,32,Holly White,0
522,33,Walter White,77
523,33,Mike Ehrmantraut,43
524,33,Gustavo Fring,26
525,33,Gale Boetticher,20
526,33,Skyler White,14
527,33,Jesse Pinkman,14
528,33,Saul Goodman,14
529,33,Stan,8
530,33,Kaylee Ehrmantraut,7
531,33,Duane Chow,6
532,33,Victor,3
533,33,Peng,2
534,33,Cartel Gunman #1,2
535,33,Cartel Gunman #2,2
536,33,"Walter ""Flynn"" White Jr.",0
537,33,Holly White,0
538,33,Stacey Ehrmantraut,0
539,34,Skyler White,29
540,34,Walter White,20
541,34,Marie Schrader,12
542,34,Gustavo Fring,11
543,34,Gale Boetticher,11
544,34,Jesse Pinkman,10
545,34,Victor,9
546,34,Saul Goodman,8
547,34,Locksmith (S4E1),7
548,34,Mike Ehrmantraut,6
549,34,Hank Schrader,5
550,34,Francesca Liddy,3
551,34,"Walter ""Flynn"" White Jr.",1
552,34,Huell Babineaux,1
553,34,Neighbor,1
554,34,Waitress (S4E1),1
555,34,Holly White,0
556,35,Walter White,31
557,35,Jesse Pinkman,27
558,35,"Brandon ""Badger"" Mayhew",23
559,35,Marie Schrader,19
560,35,Skinny Pete,18
561,35,Skyler White,17
562,35,Hank Schrader,15
563,35,Mike Ehrmantraut,14
564,35,Lawson,11
565,35,Bogdan Wolynetz,10
566,35,Chuck,8
567,35,Andrea Cantillo,5
568,35,Tyrus Kitt,3
569,35,Delivery Man,3
570,35,"Walter ""Flynn"" White Jr.",1
571,35,Saul Goodman,1
572,35,Biker,1
573,35,Brock Cantillo,0
574,35,Holly White,0
575,36,Walter White,71
576,36,Skyler White,71
577,36,Marie Schrader,49
578,36,Hank Schrader,21
579,36,Stephanie Doswell,19
580,36,Saul Goodman,16
581,36,Tim Roberts,16
582,36,Jesse Pinkman,12
583,36,Patrick Kuby,12
