id,ep_id,char_name,line_count
962,58,Hank Schrader,40
963,58,Jesse Pinkman,24
964,58,Skyler White,20
965,58,Marie Schrader,17
966,58,"Walter ""Flynn"" White Jr.",14
967,58,Saul Goodman,9
968,58,Steve Gomez,8
969,58,Dave,7
970,58,Patrick Kuby,4
971,58,Locksmith (S5E12),4
972,58,Huell Babineaux,3
973,58,Carpet Cleaner,3
974,58,Kid,1
975,58,Man,1
976,58,Holly White,0
977,59,Walter White,61
978,59,Hank Schrader,51
979,59,Jack Welker,29
980,59,Steve Gomez,27
981,59,Jesse Pinkman,20
982,59,Huell Babineaux,15
983,59,Andrea Cantillo,15
984,59,Todd Alquist,14
985,59,Skyler White,13
986,59,Saul Goodman,13
987,59,"Walter ""Flynn"" White Jr.",11
988,59,Lydia Rodarte-Quayle,8
989,59,Kenny,8
990,59,Marie Schrader,5
991,59,Brock Cantillo,3
992,59,Customer,2
993,59,Frankie,1
994,59,Van Oster,1
995,59,Lester,0
996,59,Matt,0
997,59,Holly White,0
998,60,Walter White,75
999,60,Skyler White,54
1000,60,"Walter ""Flynn"" White Jr.",30
1001,60,Jack Welker,23
1002,60,Jesse Pinkman,14
1003,60,Marie Schrader,13
1004,60,Todd Alquist,8
1005,60,Kenny,7
1006,60,Lester,4
1007,60,Hank Schrader,3
1008,60,Frankie,3
1009,60,Matt,3
1010,60,Native American Man,3
1011,60,Detective (S5E14),3
1012,60,Holly White,1
1013,60,Steve Gomez,0
1014,61,Walter White,52
1015,61,Ed Galbraith,36
1016,61,Todd Alquist,30
1017,61,Saul Goodman,20
1018,61,Jesse Pinkman,16
1019,61,"Walter ""Flynn"" White Jr.",13
1020,61,Lydia Rodarte-Quayle,12
1021,61,Elliott Schwartz,9
1022,61,Charlie Rose,7
1023,61,Jack Welker,6
1024,61,Skyler White,5
1025,61,Gretchen Schwartz,5
1026,61,Andrea Cantillo,5
1027,61,Kenny,4
1028,61,Carmen Molina,3
1029,61,Bartender,3
1030,61,AUSA,2
1031,61,Austin Ramey,2
1032,61,Waitress (S5E15),2
1033,61,Hank Schrader,1
1034,61,DEA Agent Scott,1
1035,61,Lester,1
1036,61,Deputy,1
1037,61,New Hampshire Police Officer #1,1
1038,61,New Hampshire Police Officer #2,1
1039,61,Barfly,1
1040,61,Marie Schrader,0
1041,61,Frankie,0
1042,61,Matt,0
1043,61,Holly White,0
1044,62,Walter White,56
1045,62,Gretchen Schwartz,29
1046,62,Elliott Schwartz,28
1047,62,Skyler White,18
1048,62,Jack Welker,15
1049,62,Lydia Rodarte-Quayle,14
1050,62,Todd Alquist,11
1051,62,Marie Schrader,9
1052,62,Kenny,9
1053,62,"Brandon ""Badger"" Mayhew",7
1054,62,Skinny Pete,6
1055,62,Waiter,4
1056,62,Jesse Pinkman,2
1057,62,Frankie,2
1058,62,Lucy,2
1059,62,Hank Schrader,1
1060,62,Lester,1
1061,62,Matt,1
1062,62,"Walter ""Flynn"" White Jr.",0
1063,62,Holly White,0
